,Const,Road,Sidewalk,Building,Wall,Fence,Pole,Traffic light,Traffic sign,Vegetation,Terrain,Sky,Person,Rider,Car,Truck,Bus,Train,Motorcycle,Bicycle,Others
26,1.0,-0.48523081238181914,-0.7030764724139867,-0.9696315205968437,0.2508637674728215,0.10430138294582957,-0.47943771223933723,-0.41180569545299933,-0.27351858503806487,-0.1298915822528012,-0.43938429297035636,1.0972946786168878,-0.16865881664923482,-0.14661943201998806,2.227409391742158,-0.2120340646257526,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.02218877504122358
27,1.0,-1.5027904063705297,-0.30584266306016517,-0.6862097265136953,-0.25666767085165565,-0.40870126261876866,0.13066985957319996,-0.1989063639460719,0.699745470472891,0.4463583470052077,2.810879451776008,0.38170523097251813,-0.21863153893495854,-0.14661943201998806,-0.7947672927990755,-0.18536075170788455,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,2.684299762224206
28,1.0,-0.9464432918833113,0.8062453825787038,-0.9743020090683848,-0.25666767085165565,2.7990089212233835,-1.1401595893367742,-0.41180569545299933,-0.5701819602472853,1.767933270516841,1.5108399576958378,-1.1788487259456633,-0.2977145848822718,-0.14661943201998806,-0.8168976294524136,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.5030116221577119
29,1.0,0.7971240308056332,-0.851577039234945,-1.2569749484598933,0.29801313777870214,0.7895274600226051,-1.0175908932955133,-0.41180569545299933,-0.6600799527349229,1.681408056642821,0.5652409682936267,-0.33213893736677075,-0.31663629526230497,-0.14661943201998806,-0.8166908038762142,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.5655992405751913
30,1.0,-1.2191760485520393,-0.06981423760455194,-0.9252914401708191,-0.25666767085165565,2.2161648750229026,-1.1056871435751687,-0.40746081113653115,-0.7234816948051599,1.8574566630030251,2.6512445024757185,-1.1939827907768588,-0.31663629526230497,-0.14661943201998806,-0.8099482900921129,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.08182307571123455
31,1.0,0.5552465304475067,0.007195698695658181,-0.268683822519837,-0.25666767085165565,1.7897031381791964,-0.7880481790575189,-0.0653011712146768,-0.7173307795296799,-0.09113734759926785,-0.35598375389409764,0.31548434762547667,0.4052997315451153,-0.14661943201998806,-0.7943950067619165,-0.21264724423305997,-0.05246440634774707,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.46405054571997256
32,1.0,0.7007193946247092,-0.3590571018017561,1.2035447945410556,0.700434514911725,0.11889394374908091,-0.3338873856903394,-0.21628590121193333,-0.6279059343709198,-0.4601354042001015,-0.29997479944378974,-1.0191806020923295,1.3222749268851854,-0.14661943201998806,-0.3418192809223356,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.4509877941446346
33,1.0,-0.3083254186234708,0.2122431152948655,0.7732686540869141,-0.25666767085165565,0.6232346949331368,1.8099704316742629,-0.41180569545299933,-0.34685642101481623,-1.0824906578940618,-0.5499406887497932,0.11532574389428273,0.12389993614973992,-0.14661943201998806,-0.6821300840008685,-0.21264724423305997,-0.10599006005666753,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,3.2693974436551136
34,1.0,0.6266263703503284,-0.6235151589138362,0.3472885747584946,-0.25666767085165565,1.065537553932246,0.12136777103435696,-0.3010111453830619,-0.46041177994657523,0.2851229638621413,-0.5399458248243183,-0.884046118756122,-0.18078811817489218,-0.14661943201998806,-0.10562447290259303,-0.21264724423305997,-0.06775745026458148,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.04638326274162794
35,1.0,-1.388403707812146,2.428192316825858,2.3768621494233093,-0.25666767085165565,0.04959878870476056,0.11370722753178072,-0.025110991287357713,-0.3250916438862339,-1.0483336304458473,-0.5806796098790876,-1.2036815572008037,0.06761997707067678,-0.14661943201998806,-0.8165667085304945,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,1.2341071590736754
36,1.0,1.055453819374277,-0.6392399734930548,0.1378851549331897,-0.25666767085165565,-0.7708620898267536,-0.32157579791833757,-0.18044060560107122,-0.44669050740899735,-0.49875638647087145,-0.5938803735542435,0.4626861907282382,-0.09539783543422457,-0.14661943201998806,-0.6769594445958838,0.6465706805063607,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,0.06420113494179047,1.2386507248390082
37,1.0,-0.47876535175172097,0.7865633298934573,-1.2122407339856374,0.719054011465644,1.2528217567547333,-0.3995491871410164,-0.41180569545299933,0.15326030561380088,1.96046075487872,-0.24387155382437298,-1.0775477285665103,0.032687588676769325,-0.14661943201998806,0.302318293593153,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,2.5463597998222176,-0.2845796979892718
38,1.0,1.0127067336904603,-0.27965199506895044,-0.07309480108504057,-0.25666767085165565,0.2832358317258136,-0.11145803327617126,-0.11852600409140032,0.2720202851632703,-0.1722880487018526,-0.444287433763985,-0.07146900687229718,-0.22736463603343543,0.012820814594478928,-0.3016123889091674,-0.2115741799202721,-0.13190327336018814,-0.0426014322842305,0.6978300575755402,-0.18836076422673306,0.037672703917055336
39,1.0,0.7019893958199074,0.04468532285803209,-1.0907095002135077,-0.17227930743794642,-0.19847474495052658,0.07595169169764156,0.16606391863725128,-0.10460498862707342,1.1467772882677465,-0.2211473820692827,0.1630466666074747,0.2602332852981892,-0.14661943201998806,-0.6424609384858196,-0.2114208850184453,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.37783638532275676
40,1.0,-0.25426377683698304,1.0651320649888751,-0.804607594602386,-0.25666767085165565,2.7156674509673766,-0.028833599784066577,-0.4107194743738823,-0.5933661793625146,1.457966019479957,-0.3664500736651148,-1.1770785140790825,-0.18806569909028956,-0.14661943201998806,-0.784384648873864,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,0.8808449208189425
41,1.0,-1.5197622405245368,-0.9841965847093432,-1.0725793339948664,-0.25036106718016804,4.138169006488679,-1.1013096901451265,-0.41180569545299933,0.32785166997138043,2.3324347813612576,2.2774743081305657,-1.1831620590853613,-0.31663629526230497,-0.14661943201998806,-0.8163185178390552,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.6696468966013426
42,1.0,1.2367753536522905,-0.2662182130774331,-0.3617979914144884,-0.25276358286454426,1.346619928334994,-0.3697277856488284,-0.3488048728642225,-0.6567679214327515,0.8315021506508083,-0.59406895589246,-0.7769109019857012,-0.1793326019918127,-0.14661943201998806,-0.8087073366349165,-0.2120340646257526,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.4996039478337113
43,1.0,-1.5197622405245368,0.2046410526174948,-0.6206652342928252,-0.25666767085165565,3.3457227232960296,-0.46931485118236066,-0.41180569545299933,0.2914193256474361,1.0145465071060635,2.551578736728285,-0.7450470883872375,-0.31663629526230497,-0.14661943201998806,-0.8168976294524136,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.8800139915363134
44,1.0,-1.3519200371137368,-0.8160660341255858,-0.13119015979433865,-0.25666767085165565,-0.5029676447060857,-0.8345586217517513,-0.3803052841586054,-0.4367544135024684,2.082830859715951,2.6249372662945136,-1.0377304278491815,-0.31663629526230497,-0.14661943201998806,-0.6881693908258921,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.8704725034291118
45,1.0,0.20717961197272733,-0.30761300642338774,-0.4003837147363356,-0.25666767085165565,0.3294326017553596,-0.13690198133830864,-0.34337376746862625,1.0356800739793497,0.9119199636481972,-0.10512209848156472,-0.7054043156004166,-0.20601706534826478,-0.14661943201998806,0.3959275493810123,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.372838462980888
46,1.0,-1.1785071466421821,-0.513701801471549,-1.1044253650919578,-0.25666767085165565,-0.34252751095482237,-0.5891476388298461,-0.41180569545299933,-0.32319905457070947,0.16934885197167204,1.5128200722471115,1.1056969518427742,0.10303753752560571,-0.11576002944943585,1.5359087602770007,-0.1674252481941446,-0.12468155817723857,-0.0426014322842305,-0.08927966100553981,-0.13260034492979939,-0.5184597457598469
47,1.0,-0.8232820396126521,1.6926146494066103,1.1240479570127964,-0.25666767085165565,-0.38692947404065453,-0.2611122224158363,-0.41180569545299933,-0.10980960924476925,-0.19105442594095623,-0.13265511986117784,-0.85155899112013,-0.31663629526230497,-0.14661943201998806,-0.8168976294524136,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,1.6383709230442816
48,1.0,0.444785290128825,0.6070296852936427,0.02599049864031534,3.94172848759582,-0.610656061329016,0.24886110218441856,-0.31513201941160557,0.9580839120426429,0.6775290223683179,-0.32929935303645885,-0.8339566027003209,-0.315665951140252,-0.14661943201998806,-0.7686659050827086,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.5766173875561253
49,1.0,-0.08229406954178974,-0.22773927938855257,1.5503039301749784,-0.25276358286454426,-0.5440921342425243,3.9034875345933493,-0.202165027183423,1.210271438336929,-0.8830340496285135,0.20570874048382168,-0.5447638218485376,-0.08909059864088514,-0.14661943201998806,-0.7628747889491243,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.23100108486557752,-0.26322493889220006
50,1.0,0.8875827522999497,-0.28892026326464804,0.7468222594505921,12.100671751737524,2.153190561823841,-0.9721748139587895,-0.40637459005741416,-0.5659236342873443,-0.7936883269860125,-0.59406895589246,-1.2036815572008037,-0.31663629526230497,-0.14661943201998806,-0.8168976294524136,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.7665384365470925
51,1.0,-0.9234100883885874,2.4222043907443678,0.46996279727049556,-0.25666767085165565,1.2312840734301473,-0.3155567994520199,-0.41180569545299933,0.14143162239174747,0.6409068258389905,-0.59406895589246,-1.2036815572008037,-0.31663629526230497,-0.14661943201998806,-0.7354497175450806,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,0.054824664681190634
52,1.0,-0.5500874643274886,0.752301978922842,-0.08288903218358926,-0.25666767085165565,1.6898962650917135,0.4152043325261362,-0.2879764924336575,-0.014233848810543612,0.2533866880341193,-0.4072310043044378,-0.5521937251758786,-0.2957738966381708,6.632162665977924,-0.3721399103931708,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,17.24725196806201,1.9854755821881866,0.005072619550781455
53,1.0,-0.8676743541175209,1.5473944246998586,1.5674881746778642,-0.25666767085165565,1.2570356513182392,-0.9686181330468806,-0.41180569545299933,-0.5914735900469901,-0.26787442460374783,-0.20907811242342417,-1.2012880312966938,-0.2880111436617519,-0.14661943201998806,-0.7589451030013348,-0.21264724423305997,-0.13190327336018814,-0.0426014322842305,-0.08927966100553981,-0.24494118968981513,-0.40521136905889393
